child_num,hex_id,dns_mapping,notes
0,6jqaaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
1,6jsaaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
2,6juaaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
3,6jwaaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
4,6jyaaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
5,6j2aaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
6,6j4aaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
7,6jqaaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
8,6jsaaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
9,6juaaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
10,6jwaaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
11,6jyaaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
12,6j2aaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
13,6j4aaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
14,6jqaaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
15,6jsaaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
16,6juaaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
17,6jwaaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
18,6jyaaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
19,6j2aaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
20,6j4aaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
21,6jqaaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
22,6jsaaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
23,6juaaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
24,6jwaaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
25,6jyaaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
26,6j2aaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
27,6j4aaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
28,6jqaaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
29,6jsaaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
30,6juaaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
31,6jwaaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
32,6jyaaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
33,6j2aaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
34,6j4aaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
35,6jqaaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
36,6jsaaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
37,6juaaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
38,6jwaaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
39,6jyaaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
40,6j2aaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
41,6j4aaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
42,6jqaaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.0.20.h3.americas.peerhex.org.,
43,6jsaaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.1.20.h3.americas.peerhex.org.,
44,6juaaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.2.20.h3.americas.peerhex.org.,
45,6jwaaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.3.20.h3.americas.peerhex.org.,
46,6jyaaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.4.20.h3.americas.peerhex.org.,
47,6j2aaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.5.20.h3.americas.peerhex.org.,
48,6j4aaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.0.0.6.20.h3.americas.peerhex.org.,
